RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
189.67804,45.30687,1372,486,53062,-23.2,45.236,0.004,42.35,0.02,4399.3,330.1,62.0,3.1,23.06,8.33,0.07,-1.2,1544868314222716928,0.2288463,323.9026,1177.4
189.77188,41.44564,1984,609,53433,-22.29,44.819,0.005,42.11,0.04,2371.4,541.6,89.4,8.7,15.06,7.59,0.2,-0.87,2233952873417304064,0.178252,448.1307,1177.4
189.81419,53.2374,885,449,52379,-22.69,45.121,0.004,41.93,0.04,10756.6,4366.4,32.1,3.4,16.27,9.05,0.35,-2.03,996544877648963584,0.2016241,86.80108,680.4231
189.93733,19.90707,2614,350,54481,-23.37,45.132,0.001,42.55,0.02,15241.3,362.8,118.7,6.3,19.79,9.36,0.02,-2.33,2943198638932781056,0.2393598,370.0913,533.4928
189.99405,49.09448,1278,96,52735,-22.77,45.166,0.011,42.25,0.01,1385.6,48.6,52.5,2.9,15.96,7.29,0.03,-0.23,1438926515109652480,0.2353105,589.2418,976.0384
190.0544,31.04537,2237,448,53828,-22.7,45.098,0.005,41.54,0.08,4940.4,2527.9,13.2,3.2,17.4,8.36,0.44,-1.37,2518761301132470272,0.235612,43.81033,1177.4
190.40521,44.7483,1372,589,53062,-22.45,45.066,0.002,41.42,0.03,1506.3,110.8,10.2,0.67,18.0,7.32,0.06,-0.35,1544896626647132160,0.191827,240.5085,541.585
190.59734,19.78912,2614,279,54481,-22.9,45.099,0.002,42.3,0.02,4480.9,176.4,72.2,3.1,27.18,8.28,0.03,-1.28,2943179122601388032,0.1602625,778.7159,1177.4
190.65991,4.93792,846,119,52407,-22.7,45.035,0.004,42.32,0.03,6825.3,345.0,87.4,6.0,17.87,8.61,0.04,-1.68,952544072042571776,0.2334552,155.7205,1177.4
190.84929,5.24622,846,596,52407,-23.07,45.189,0.002,42.41,0.02,3693.9,232.3,77.8,3.1,29.46,8.16,0.05,-1.07,952675188804184064,0.1647449,703.1163,1177.4
190.92404,9.28532,1789,190,54259,-23.3,45.379,0.001,42.52,0.03,1978.8,402.1,59.9,3.8,33.13,7.71,0.18,-0.43,2014287231597963264,0.1923565,1144.884,1177.4
190.94144,6.57526,1790,217,53876,-22.43,45.042,0.006,42.11,0.05,10981.2,1482.7,54.6,7.0,15.27,9.03,0.12,-2.09,2015420546782619648,0.2401559,37.66515,476.2573
191.08318,40.86023,1985,429,53431,-22.69,45.157,0.004,41.67,0.1,3221.5,1333.3,15.6,3.9,16.85,8.02,0.36,-0.96,2235029295267342336,0.2493404,67.56476,653.7802
191.24509,17.54988,2601,271,54144,-22.91,45.177,0.003,42.31,0.01,3212.8,225.6,64.2,2.2,19.93,8.03,0.06,-0.95,2928540219135256576,0.2630214,259.4819,1177.4
191.34576,31.87208,1975,180,53734,-22.67,45.207,0.007,42.11,0.04,12722.7,903.4,36.5,3.3,21.68,9.24,0.06,-2.13,2223701856683583488,0.2404729,51.91676,1177.4
191.35986,7.73209,1790,472,53876,-22.72,45.151,0.006,41.81,0.1,9643.6,2711.6,21.4,5.4,15.68,8.97,0.24,-1.92,2015490640648890368,0.2815173,25.76958,383.9456
191.46266,3.35788,522,408,52024,-23.54,45.419,0.019,42.76,0.01,7625.9,290.0,95.7,5.9,34.65,8.9,0.03,-1.58,587831935514994688,0.226549,274.9844,1177.4
191.58711,18.35663,2601,378,54144,-22.82,45.056,0.005,42.17,0.06,3712.9,441.2,58.3,6.9,16.9,8.09,0.1,-1.14,2928569631071299584,0.2641678,195.9526,1177.4
191.79945,29.65291,2239,239,53726,-23.27,45.157,0.003,42.62,0.02,2885.8,226.9,125.2,4.7,29.22,7.93,0.07,-0.87,2520955649752328192,0.1934278,1505.347,1177.4
191.81377,67.82478,495,333,51988,-22.93,45.134,0.007,42.32,0.04,1885.5,1252.6,70.8,5.9,16.28,7.54,0.58,-0.51,557412021583243264,0.2736361,228.6028,1177.4
191.88229,45.0226,1373,434,53063,-22.87,45.183,0.005,42.29,0.03,6019.3,401.8,57.3,5.3,18.99,8.58,0.06,-1.49,1545979920495175680,0.213071,124.0855,523.2189
